"Commit","RefactoringType","Before","After","BeforeLOC","AfterLOC"
"f10268dc076945ea0bec97555ebf77925c95181f"
"fd24c9d3b8ef84c21c1ab49bc740c220c5d9b731"
"a3852994538d59d0e215cd120f1f2d1000c75d98"
"dbde218e8b02d7f0baefed77a732690c4cc410bc"
"0a4ec40c284062de6d7336f17b288876d909e500"
"c2b0172df126b91a45e9b3c25f434c9bafc884a5"
"20407581a973815f2650e99e2779ca37ccedbb2d"
"dbd2e77d607ff9e44e38cd30aa2011064e589926"
"c118bdcfca8a7364a597832ef0b4181abbf6cd06"
"7dff45bb652b49db12441bd09750f521bc45013c","CHANGE_SIGNATURE","{Method normalizeDoubles(List) at test/framework/src/main/java/org/elasticsearch/datageneration/matchers/source/DynamicFieldMatcher.java:97}","{Method normalizeDoubles(List, boolean) at test/framework/src/main/java/org/elasticsearch/datageneration/matchers/source/DynamicFieldMatcher.java:100}","10","16"
"7dff45bb652b49db12441bd09750f521bc45013c","PULL_UP","{Method upgradeNode(int) at x-pack/plugin/logsdb/qa/rolling-upgrade/src/javaRestTest/java/org/elasticsearch/xpack/logsdb/LogsdbIndexingRollingUpgradeIT.java:134}","{Method upgradeNode(int) at x-pack/plugin/logsdb/qa/rolling-upgrade/src/javaRestTest/java/org/elasticsearch/xpack/logsdb/AbstractLogsdbRollingUpgradeTestCase.java:37}","9","9"
"7dff45bb652b49db12441bd09750f521bc45013c","EXTRACT_SUPER","{Class LogsdbIndexingRollingUpgradeIT at x-pack/plugin/logsdb/qa/rolling-upgrade/src/javaRestTest/java/org/elasticsearch/xpack/logsdb/LogsdbIndexingRollingUpgradeIT.java:39}","{Class AbstractLogsdbRollingUpgradeTestCase at x-pack/plugin/logsdb/qa/rolling-upgrade/src/javaRestTest/java/org/elasticsearch/xpack/logsdb/AbstractLogsdbRollingUpgradeTestCase.java:20}","291","27"
"7dff45bb652b49db12441bd09750f521bc45013c","PULL_UP","{Method getTestRestCluster() at x-pack/plugin/logsdb/qa/rolling-upgrade/src/javaRestTest/java/org/elasticsearch/xpack/logsdb/LogsdbIndexingRollingUpgradeIT.java:79}","{Method getTestRestCluster() at x-pack/plugin/logsdb/qa/rolling-upgrade/src/javaRestTest/java/org/elasticsearch/xpack/logsdb/AbstractLogsdbRollingUpgradeTestCase.java:28}","3","3"
"7dff45bb652b49db12441bd09750f521bc45013c","INTERNAL_MOVE","{Method generateDynamicSubObject() at test/framework/src/main/java/org/elasticsearch/datageneration/datasource/DefaultObjectGenerationHandler.java:43}","{Method generateDynamicSubObject() at test/framework/src/main/java/org/elasticsearch/datageneration/datasource/DefaultObjectGenerationHandler.java:47}","4","4"
"7dff45bb652b49db12441bd09750f521bc45013c","INTERNAL_MOVE","{Method generateRegularSubObject() at test/framework/src/main/java/org/elasticsearch/datageneration/datasource/DefaultObjectGenerationHandler.java:55}","{Method generateRegularSubObject() at test/framework/src/main/java/org/elasticsearch/datageneration/datasource/DefaultObjectGenerationHandler.java:59}","4","4"
"7dff45bb652b49db12441bd09750f521bc45013c","INTERNAL_MOVE","{Method generateChildFieldCount() at test/framework/src/main/java/org/elasticsearch/datageneration/datasource/DefaultObjectGenerationHandler.java:37}","{Method generateChildFieldCount() at test/framework/src/main/java/org/elasticsearch/datageneration/datasource/DefaultObjectGenerationHandler.java:41}","4","4"
"7dff45bb652b49db12441bd09750f521bc45013c","PULL_UP","{Method restClientSettings() at x-pack/plugin/logsdb/qa/rolling-upgrade/src/javaRestTest/java/org/elasticsearch/xpack/logsdb/LogsdbIndexingRollingUpgradeIT.java:83}","{Method restClientSettings() at x-pack/plugin/logsdb/qa/rolling-upgrade/src/javaRestTest/java/org/elasticsearch/xpack/logsdb/AbstractLogsdbRollingUpgradeTestCase.java:32}","4","4"
"7dff45bb652b49db12441bd09750f521bc45013c","INTERNAL_MOVE","{Method generateFieldName() at test/framework/src/main/java/org/elasticsearch/datageneration/datasource/DefaultObjectGenerationHandler.java:61}","{Method generateFieldName() at test/framework/src/main/java/org/elasticsearch/datageneration/datasource/DefaultObjectGenerationHandler.java:65}","16","16"
"7dff45bb652b49db12441bd09750f521bc45013c","CHANGE_SIGNATURE","{Method new(XContentBuilder, Settings.Builder, XContentBuilder, Settings.Builder) at test/framework/src/main/java/org/elasticsearch/datageneration/matchers/source/DynamicFieldMatcher.java:38}","{Method new(XContentBuilder, Settings.Builder, XContentBuilder, Settings.Builder, boolean) at test/framework/src/main/java/org/elasticsearch/datageneration/matchers/source/DynamicFieldMatcher.java:40}","6","7"
"7dff45bb652b49db12441bd09750f521bc45013c","INTERNAL_MOVE","{Method generateNestedSubObject() at test/framework/src/main/java/org/elasticsearch/datageneration/datasource/DefaultObjectGenerationHandler.java:49}","{Method generateNestedSubObject() at test/framework/src/main/java/org/elasticsearch/datageneration/datasource/DefaultObjectGenerationHandler.java:53}","4","4"
"a9315e48920c2c6d94a1cc054cda0f97b3a668bb"
"026b5c9e2fb85f85d2c6e7d5750bf3679aed44fc"
"b127731a9a9e080e19ffb94197d4cae9129fd792"
"f95c02ab5255c0bdf47d293c66593d517a2f61a8","EXTRACT_MOVE","{Method availableSystemMemory() at distribution/tools/server-cli/src/main/java/org/elasticsearch/server/cli/OverridableSystemMemoryInfo.java:31}","{Method getBytesFromSystemProperty(String, long) at distribution/tools/server-cli/src/main/java/org/elasticsearch/server/cli/JvmArgumentParsingSystemMemoryInfo.java:21}","18","17"
"3c81047b9dabea5fa42edbc0b84210529f213496"
"b23d848523de913b0c523d9610f6f3a17bc3e950","CHANGE_SIGNATURE","{Method extrapolateRate(ReducedState, long, long, boolean) at x-pack/plugin/esql/compute/src/main/generated-src/org/elasticsearch/compute/aggregation/RateLongGroupingAggregatorFunction.java:680}","{Method extrapolateRate(ReducedState, double, double, boolean, double) at x-pack/plugin/esql/compute/src/main/generated-src/org/elasticsearch/compute/aggregation/RateLongGroupingAggregatorFunction.java:698}","29","29"
"b23d848523de913b0c523d9610f6f3a17bc3e950","CHANGE_SIGNATURE","{Method new(List, DriverContext, boolean) at x-pack/plugin/esql/compute/src/main/generated-src/org/elasticsearch/compute/aggregation/RateDoubleGroupingAggregatorFunction.java:89}","{Method new(List, DriverContext, boolean, boolean) at x-pack/plugin/esql/compute/src/main/generated-src/org/elasticsearch/compute/aggregation/RateDoubleGroupingAggregatorFunction.java:94}","14","15"
"b23d848523de913b0c523d9610f6f3a17bc3e950","CHANGE_SIGNATURE","{Method extrapolateRate(ReducedState, long, long, boolean) at x-pack/plugin/esql/compute/src/main/generated-src/org/elasticsearch/compute/aggregation/RateDoubleGroupingAggregatorFunction.java:680}","{Method extrapolateRate(ReducedState, double, double, boolean, double) at x-pack/plugin/esql/compute/src/main/generated-src/org/elasticsearch/compute/aggregation/RateDoubleGroupingAggregatorFunction.java:698}","29","29"
"b23d848523de913b0c523d9610f6f3a17bc3e950","CHANGE_SIGNATURE","{Method new(List, DriverContext, boolean) at x-pack/plugin/esql/compute/src/main/generated-src/org/elasticsearch/compute/aggregation/RateIntGroupingAggregatorFunction.java:89}","{Method new(List, DriverContext, boolean, boolean) at x-pack/plugin/esql/compute/src/main/generated-src/org/elasticsearch/compute/aggregation/RateIntGroupingAggregatorFunction.java:94}","14","15"
"b23d848523de913b0c523d9610f6f3a17bc3e950","CHANGE_SIGNATURE","{Method new(List, DriverContext, boolean) at x-pack/plugin/esql/compute/src/main/generated-src/org/elasticsearch/compute/aggregation/RateLongGroupingAggregatorFunction.java:89}","{Method new(List, DriverContext, boolean, boolean) at x-pack/plugin/esql/compute/src/main/generated-src/org/elasticsearch/compute/aggregation/RateLongGroupingAggregatorFunction.java:94}","14","15"
